date,strategy,recommended,medium,aggressive,recommended_leverage_mode,medium_leverage_mode,aggressive_leverage_mode
1954-07-02,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-07-09,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-07-16,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-07-23,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-07-30,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-08-06,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-08-13,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-08-20,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-08-27,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-09-03,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-09-10,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-09-17,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-09-24,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-10-01,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-10-08,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-10-15,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-10-22,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-10-29,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-11-05,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-11-12,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-11-19,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-11-26,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-12-03,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-12-10,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-12-17,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-12-24,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1954-12-31,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
1955-01-07,0.83333333,0.83333333,0.83333333,0.83333333,False,False,False
