name,base_weight,medium_weight,aggressive_weight,cagr,max_drawdown,volatility,sharpe_0rf,final_wealth,return_to_dd
40% / 30% / 30%,0.40000000,0.30000000,0.30000000,0.13525573,-0.27294904,0.06734489,2.00840361,102.67636905,0.49553473
40% / 40% / 20%,0.40000000,0.40000000,0.20000000,0.13083881,-0.27294904,0.06591243,1.98503983,89.05517770,0.47935252
40% / 50% / 10%,0.40000000,0.50000000,0.10000000,0.12642959,-0.27294904,0.06457789,1.95778440,77.21725894,0.46319853
40% / 60% / 0%,0.40000000,0.60000000,0.00000000,0.12202810,-0.27294904,0.06334746,1.92632987,66.93230771,0.44707283
50% / 0% / 50%,0.50000000,0.00000000,0.50000000,0.14073251,-0.27243108,0.06947556,2.02564050,122.39976810,0.51658023
50% / 10% / 40%,0.50000000,0.10000000,0.40000000,0.13630663,-0.27243108,0.06792851,2.00661881,106.20417864,0.50033436
50% / 20% / 30%,0.50000000,0.20000000,0.30000000,0.13188842,-0.27243108,0.06647144,1.98413656,92.12331034,0.48411666
50% / 30% / 20%,0.50000000,0.30000000,0.20000000,0.12747791,-0.27243108,0.06511040,1.95787327,79.88478454,0.46792720
50% / 40% / 10%,0.50000000,0.40000000,0.10000000,0.12307511,-0.27243108,0.06385152,1.92752060,69.25081374,0.45176605
50% / 50% / 0%,0.50000000,0.50000000,0.00000000,0.11868005,-0.27243108,0.06270095,1.89279511,60.01387226,0.43563330
60% / 0% / 40%,0.60000000,0.00000000,0.40000000,0.13293540,-0.27191323,0.06707361,1.98193287,95.28606684,0.48888905
60% / 10% / 30%,0.60000000,0.10000000,0.30000000,0.12852361,-0.27191323,0.06568742,1.95659397,82.63484467,0.47266404
60% / 20% / 20%,0.60000000,0.20000000,0.20000000,0.12411951,-0.27191323,0.06440143,1.92727870,71.64128672,0.45646735
60% / 30% / 10%,0.60000000,0.30000000,0.10000000,0.11972315,-0.27191323,0.06322178,1.89370096,62.09113007,0.44029909
60% / 40% / 0%,0.60000000,0.40000000,0.00000000,0.11533453,-0.27191323,0.06215451,1.85560992,53.79742010,0.42415931
70% / 0% / 30%,0.70000000,0.00000000,0.30000000,0.12516130,-0.27139550,0.06499605,1.92567540,74.10564196,0.46117675
70% / 10% / 20%,0.70000000,0.10000000,0.20000000,0.12076364,-0.27139550,0.06378865,1.89318392,64.23279694,0.44497288
70% / 20% / 10%,0.70000000,0.20000000,0.10000000,0.11637372,-0.27139550,0.06269160,1.85628879,55.65807220,0.42879752
70% / 30% / 0%,0.70000000,0.30000000,0.00000000,0.11199156,-0.27139550,0.06171081,1.81478034,48.21308546,0.41265074
80% / 0% / 20%,0.80000000,0.00000000,0.20000000,0.11741030,-0.27087790,0.06327483,1.85556103,57.57635458,0.43344365
80% / 10% / 10%,0.80000000,0.10000000,0.10000000,0.11302684,-0.27087790,0.06226352,1.81529792,49.87930516,0.41726123
80% / 20% / 0%,0.80000000,0.20000000,0.00000000,0.10865115,-0.27087790,0.06137206,1.77036837,43.19781738,0.40110748
90% / 0% / 10%,0.90000000,0.00000000,0.10000000,0.10968254,-0.27036041,0.06193966,1.77079663,44.68955129,0.40569009
90% / 10% / 0%,0.90000000,0.10000000,0.00000000,0.10531333,-0.27036041,0.06114002,1.72249435,38.69472885,0.38952941
100% / 0% / 0%,1.00000000,0.00000000,0.00000000,0.10197811,-0.26984304,0.06101589,1.67133689,34.65250676,0.37791641
