portfolio,label,time_underwater_pct,period_count,completed_period_count,avg_completed_weeks,median_completed_weeks,longest_weeks,longest_years,longest_start,longest_recovered,longest_max_drawdown,current_underwater_weeks,current_drawdown
strategy,Strategia,0.72101064,278,277,9.77256318,3.00000000,288,5.51962053,1973-02-02,1978-08-11,-0.26984304,4,-0.00785332
strategy_recommended_mix,Rekomendowany miks,0.72712766,256,255,10.70588235,4.00000000,287,5.50045518,1973-02-02,1978-08-04,-0.27346712,4,-0.00785332
strategy_medium_aggressive,Srednio agresywna,0.73164894,246,245,11.21224490,4.00000000,287,5.50045518,1973-02-02,1978-08-04,-0.27502205,4,-0.00785332
strategy_aggressive,Agresywna,0.76595745,213,212,13.23584906,4.00000000,287,5.50045518,1973-02-02,1978-08-04,-0.27502205,74,-0.06918946
benchmark_100_equity,100% akcje,0.72872340,222,221,12.39366516,4.00000000,346,6.63121077,2000-03-31,2006-11-17,-0.45701434,1,-0.01544478
benchmark_80_20,80/20,0.70691489,252,251,10.58565737,3.00000000,276,5.28963634,2000-09-08,2005-12-23,-0.34769533,1,-0.01232044
benchmark_60_40,60/40,0.69813830,299,298,8.78523490,2.00000000,182,3.48809353,2000-09-08,2004-03-05,-0.22751229,7,-0.00962193
