date,forward_pe_proxy,s3_equity,s3_bond,pe_branch,s3_raw_equity,s3_raw_bond
1954-07-31,11.043655905339335,0.9,0.1,rising,0.9,0.1
1954-08-31,11.249253588413058,0.9,0.1,rising,0.9,0.1
1954-09-30,11.4982451009067,0.9,0.1,rising,0.9,0.1
1954-10-31,11.56000093112251,0.9,0.1,rising,0.9,0.1
1954-11-30,11.80681230473213,0.9,0.1,rising,0.9,0.1
1954-12-31,12.138989169675089,0.9,0.1,rising,0.9,0.1
1955-01-31,12.08146217728582,0.9,0.1,rising,0.9,0.1
1955-02-28,12.21229895017382,0.9,0.1,rising,0.9,0.1
1955-03-31,11.85680873180873,0.9,0.1,rising,0.9,0.1
1955-04-30,11.917172620497889,0.9,0.1,rising,0.9,0.1
1955-05-31,11.53847381343368,0.9,0.1,rising,0.9,0.1
1955-06-30,11.87888198757764,0.9,0.1,rising,0.9,0.1
1955-07-31,12.464003583933865,0.9,0.1,rising,0.9,0.1
1955-08-31,12.118228671974656,0.9,0.1,rising,0.9,0.1
1955-09-30,12.393783542039357,0.9,0.1,rising,0.9,0.1
1955-10-31,11.568681318681318,0.9,0.1,rising,0.9,0.1
1955-11-30,12.140773552290408,0.9,0.1,rising,0.9,0.1
1955-12-31,12.05110497237569,0.9,0.1,rising,0.9,0.1
1956-01-31,11.651956610277706,0.9,0.1,rising,0.9,0.1
1956-02-29,11.651213184211793,0.9,0.1,rising,0.9,0.1
1956-03-31,12.37492182614134,0.9,0.1,rising,0.9,0.1
1956-04-30,12.623476250525428,0.9,0.1,rising,0.9,0.1
1956-05-31,12.327823691460056,0.9,0.1,rising,0.9,0.1
1956-06-30,11.625312364189485,0.9,0.1,rising,0.9,0.1
1956-07-31,11.633871059216975,0.9,0.1,rising,0.9,0.1
1956-08-31,11.718587816641728,0.9,0.1,rising,0.9,0.1
1956-09-30,11.472518859606154,0.9,0.1,rising,0.9,0.1
1956-10-31,11.38039069097824,0.9,0.1,rising,0.9,0.1
1956-11-30,11.317010688787992,0.9,0.1,rising,0.9,0.1
1956-12-31,11.541329091903176,0.9,0.1,rising,0.9,0.1
1957-01-31,11.301358804932676,0.9,0.1,rising,0.9,0.1
1957-02-28,10.824393476638308,0.9,0.1,rising,0.9,0.1
1957-03-31,11.178133195592288,0.9,0.1,rising,0.9,0.1
1957-04-30,11.465460095593023,0.9,0.1,rising,0.9,0.1
1957-05-31,12.258442960719035,0.9,0.1,rising,0.9,0.1
1957-06-30,12.541720151776603,0.9,0.1,rising,0.9,0.1
1957-07-31,13.061234070443792,0.9,0.1,rising,0.9,0.1
1957-08-31,12.357057826560126,0.9,0.1,rising,0.9,0.1
1957-09-30,12.168341831629569,0.9,0.1,rising,0.9,0.1
1957-10-31,11.55193123529864,0.9,0.1,rising,0.9,0.1
1957-11-30,11.767761885331064,0.9,0.1,rising,0.9,0.1
1957-12-31,11.89818356460438,0.9,0.1,rising,0.9,0.1
1958-01-31,12.449860341683888,0.9,0.1,rising,0.9,0.1
1958-02-28,12.797673717021434,0.9,0.1,rising,0.9,0.1
1958-03-31,13.436817170391148,0.9,0.1,rising,0.9,0.1
1958-04-30,13.826718994253822,0.9,0.1,rising,0.9,0.1
1958-05-31,14.666564707702946,0.9,0.1,rising,0.9,0.1
1958-06-30,15.387323618830308,0.9,0.1,rising,0.9,0.1
1958-07-31,15.977001056397912,0.9,0.1,rising,0.9,0.1
1958-08-31,16.72361817128524,0.9,0.1,rising,0.9,0.1
1958-09-30,17.315490551938247,0.9,0.1,rising,0.9,0.1
1958-10-31,18.271415167184703,0.9,0.1,rising,0.9,0.1
1958-11-30,18.82314894215305,0.9,0.1,rising,0.9,0.1
1958-12-31,19.260351639268983,0.9,0.1,rising,0.9,0.1
1959-01-31,19.775819762731054,0.9,0.1,rising,0.9,0.1
1959-02-28,19.074527586470484,0.9,0.1,rising,0.9,0.1
1959-03-31,19.105757599951307,0.9,0.1,rising,0.9,0.1
